,Number,Italian,Original,English_opus-mt-tc-big-it-en,English_Google,rating_score,rating_opus-mt,NLTKPositive,NLTKNegative,NLTKNeutral,NLTKSentiment,NLTKPositive-G,NLTKNegative-G,NLTKNeutral-G,NLTKSentiment-G,TextblobSentimentPolarity,TextblobSentimentSubjectivity,TextblobSentimentPolarity-G,TextblobSentimentSubjectivity-G,FlairSentiment,FlairSentiment-G,PatternSentimentPolarity,PatternSentimentSubjectivity,PatternSentimentPolarity-G,PatternSentimentSubjectivity-G,Opus,Google,Ideal Human Translation,BLEU_score_mt,chrF_score_mt,BLEU_score_gt,chrF_score_gt
0,0,General /commonly used Italian sentences -Positive,1,General /commonly used Italian sentences -Positive,General /commonly used Italian sentences -Positive,0.5859,0.5859,0.545,0.0,0.455,0.5859,0.545,0.0,0.455,0.5859,0.0924242424242424,0.3484848484848484,0.0924242424242424,0.3484848484848484, POSITIVE (0.9862), POSITIVE (0.9862),0.0924242424242424,0.3484848484848484,0.0924242424242424,0.3484848484848484,,,,,,,
1,1,Sono felice,1,I'm happy,I'm happy,0.5719,0.5719,0.787,0.0,0.213,0.5719,0.787,0.0,0.213,0.5719,0.8,1.0,0.8,1.0, POSITIVE (0.9925), POSITIVE (0.9925),0.8,1.0,0.8,1.0,True,True,I'm happy,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00
2,2,Ieri alla festa mi sono divertita molto,1,Yesterday at the party I had a lot of fun,Yesterday at the party I had a lot of fun,0.7184,0.7184,0.5,0.0,0.5,0.7184,0.5,0.0,0.5,0.7184,0.3,0.2,0.3,0.2, POSITIVE (0.9973), POSITIVE (0.9973),0.3,0.2,0.3,0.2,True,True,Yesterday at the party I had a lot of fun,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10),chrF2 = 100.00
3,3,ÃÂ stato bello parlare con te,1,It was nice talking to you,It has been nice talking to you,0.4215,0.4215,0.359,0.0,0.641,0.4215,0.318,0.0,0.682,0.4215,0.6,1.0,0.6,1.0, POSITIVE (0.916), POSITIVE (0.959),0.6,1.0,0.6,1.0,True,True,It was nice talking to you,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 43.47 71.4/50.0/40.0/25.0 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6),chrF2 = 74.37
4,4,Ho trascorso una bella serata,1,I had a nice evening,I spent a nice evening,0.4215,0.4215,0.583,0.0,0.417,0.4215,0.583,0.0,0.417,0.4215,0.6,1.0,0.25,0.55, POSITIVE (0.9569), POSITIVE (0.9474),0.6,1.0,0.25,0.55,True,False,I had a nice evening,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 42.73 80.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 68.87
5,5,Oggi ÃÂ¨ una giornata serena,1,Today is a peaceful day,Today is a peaceful day,0.4939,0.4939,0.516,0.0,0.484,0.4939,0.516,0.0,0.484,0.4939,0.25,0.5,0.25,0.5, POSITIVE (0.989), POSITIVE (0.989),0.25,0.5,0.25,0.5,True,True,Today is a peaceful day,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
6,6,Sono al settimo cielo!,1,I'm in seventh heaven!,I'm in seventh heaven!,0.5562,0.5562,0.545,0.0,0.455,0.5562,0.545,0.0,0.455,0.5562,0.0,0.0,0.0,0.0, POSITIVE (0.9856), POSITIVE (0.9856),0.0,0.0,0.0,0.0,True,True,I'm in seventh heaven!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
7,7,Ho il cuore pieno di gioia,1,My heart is full of joy,I have my heart full of joy,0.5859,0.5859,0.432,0.0,0.568,0.5859,0.432,0.0,0.568,0.5859,0.575,0.375,0.575,0.375, POSITIVE (0.997), POSITIVE (0.9957),0.575,0.375,0.575,0.375,True,True,My heart is full of joy,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 26.27 57.1/33.3/20.0/12.5 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6),chrF2 = 60.53
8,8,Sono innamorata,1,I'm in love,I'm in love,0.6369,0.6369,0.677,0.0,0.323,0.6369,0.677,0.0,0.323,0.6369,0.5,0.6,0.5,0.6, POSITIVE (0.9987), POSITIVE (0.9987),0.5,0.6,0.5,0.6,True,True,I'm in love,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00
9,9,Hai un bellissimo sorriso,1,You have a beautiful smile,You have a beautiful smile,0.7506,0.7506,0.762,0.0,0.238,0.7506,0.762,0.0,0.238,0.7506,0.575,0.55,0.575,0.55, POSITIVE (0.9973), POSITIVE (0.9973),0.575,0.55,0.575,0.55,True,True,You have a beautiful smile,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
10,10,Che begli occhi!,1,What beautiful eyes!,Nice eyes!,0.4753,0.636,0.677,0.0,0.323,0.636,0.756,0.0,0.244,0.4753,1.0,1.0,0.75,1.0, POSITIVE (0.9992), POSITIVE (0.9987),1.0,1.0,0.75,1.0,True,False,What beautiful eyes!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 39.43 66.7/50.0/50.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4),chrF2 = 19.02
11,11,Che bella ragazza!,1,What a beautiful girl!,What a pretty girl!,0.5411,0.636,0.677,0.0,0.323,0.636,0.636,0.0,0.364,0.5411,1.0,1.0,0.3125,1.0, POSITIVE (0.998), POSITIVE (0.9997),1.0,1.0,0.3125,1.0,True,False,What a beautiful girl!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 30.21 80.0/50.0/16.7/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 31.27
12,12,Sei una persona fortunata,1,You're a lucky person.,You are a lucky person,0.4215,0.4215,0.583,0.0,0.417,0.4215,0.483,0.0,0.517,0.4215,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.8333333333333334, POSITIVE (0.9995), POSITIVE (0.9996),0.3333333333333333,0.8333333333333334,0.3333333333333333,0.8333333333333334,True,True,You're a lucky person.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 39.76 60.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 75.75
13,13,Che bello averti incontrato,1,It's so good to have met you.,How nice to have met you,0.4215,0.4927,0.347,0.0,0.653,0.4927,0.359,0.0,0.641,0.4215,0.7,0.6000000000000001,0.6,1.0, POSITIVE (0.9977), POSITIVE (0.999),0.7,0.6000000000000001,0.6,1.0,False,True,How nice to have met you,BLEU = 34.57 50.0/42.9/33.3/20.0 (BP = 1.000 ratio = 1.333 hyp_len = 8 ref_len = 6),chrF2 = 55.31,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
14,14,Mi piace molto il mio lavoro,1,I really like my job.,I really like my job,0.4201,0.4201,0.482,0.0,0.518,0.4201,0.482,0.0,0.518,0.4201,0.2,0.2,0.2,0.2, POSITIVE (0.9934), POSITIVE (0.9903),0.2,0.2,0.2,0.2,True,True,I really like my job.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 81.87 100.0/100.0/100.0/100.0 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6),chrF2 = 94.32
15,15,Sei una brava persona,1,You're a good person,You're a good person,0.4404,0.4404,0.592,0.0,0.408,0.4404,0.592,0.0,0.408,0.4404,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9962), POSITIVE (0.9962),0.7,0.6000000000000001,0.7,0.6000000000000001,True,True,You're a good person,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
16,16,Mi piace tanto studiare,1,I like to study so much,I really like studying,0.4201,0.3612,0.385,0.0,0.615,0.3612,0.583,0.0,0.417,0.4201,0.2,0.2,0.2,0.2, POSITIVE (0.9536), POSITIVE (0.9815),0.2,0.2,0.2,0.2,False,True,I really like studying,BLEU = 9.65 33.3/10.0/6.2/4.2 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4),chrF2 = 24.67,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
17,17,Sono soddisfatto,1,I'm satisfied,I'm satisfied,0.4215,0.4215,0.737,0.0,0.263,0.4215,0.737,0.0,0.263,0.4215,0.5,1.0,0.5,1.0, POSITIVE (0.9938), POSITIVE (0.9938),0.5,1.0,0.5,1.0,True,True,I'm satisfied,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00
18,18,Ho fatto un bel sogno,1,I had a good dream,I had a nice dream,0.5859,0.5994,0.831,0.0,0.169,0.5994,0.828,0.0,0.172,0.5859,0.7,0.6000000000000001,0.6,1.0, POSITIVE (0.9646), POSITIVE (0.9519),0.7,0.6000000000000001,0.6,1.0,False,True,I had a nice dream,BLEU = 42.73 80.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 39.89,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
19,19,Che dolce emozione!,1,What a sweet emotion!,What a sweet emotion!,0.5093,0.5093,0.622,0.0,0.378,0.5093,0.622,0.0,0.378,0.5093,0.4375,0.65,0.4375,0.65, POSITIVE (0.9996), POSITIVE (0.9996),0.4375,0.65,0.4375,0.65,True,True,What a sweet emotion!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
20,20,Il pranzo ÃÂ¨ stato delizioso,1,Lunch was delicious,Lunch was delicious,0.5719,0.5719,0.649,0.0,0.351,0.5719,0.649,0.0,0.351,0.5719,1.0,1.0,1.0,1.0, POSITIVE (0.9937), POSITIVE (0.9937),1.0,1.0,1.0,1.0,True,True,Lunch was delicious,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00
21,21,Il pane ÃÂ¨ buono,1,Bread is good,The bread is good,0.4404,0.4404,0.592,0.0,0.408,0.4404,0.492,0.0,0.508,0.4404,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9947), POSITIVE (0.9946),0.7,0.6000000000000001,0.7,0.6000000000000001,False,True,The bread is good,BLEU = 39.43 66.7/50.0/50.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4),chrF2 = 68.03,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
22,22,Abbracciare rende felici,1,Embracing makes you happy,Embracing makes it happy,0.5719,0.5719,0.552,0.0,0.448,0.5719,0.552,0.0,0.448,0.5719,0.8,1.0,0.8,1.0, POSITIVE (0.9964), POSITIVE (0.9955),0.8,1.0,0.8,1.0,False,False,Hugging makes people happy,BLEU = 19.00 50.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 39.72,BLEU = 19.00 50.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 38.63
23,23,L'abbraccio fa bene al cuore,1,Embrace is good for the heart,The embrace is good for the heart,0.6369,0.6369,0.565,0.0,0.435,0.6369,0.51,0.0,0.49,0.6369,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9942), POSITIVE (0.9931),0.7,0.6000000000000001,0.7,0.6000000000000001,False,False,A hug is good for the heart,BLEU = 64.32 83.3/80.0/75.0/66.7 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7),chrF2 = 75.72,BLEU = 61.48 71.4/66.7/60.0/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 74.16
24,24,Avere un buon amico rende la vita piÃÂ¹ bella,1,Having a good friend makes life more beautiful,Having a good friend makes life more beautiful,0.8832,0.8832,0.72,0.0,0.28,0.8832,0.72,0.0,0.28,0.8832,0.6833333333333332,0.7000000000000001,0.6833333333333332,0.7000000000000001, POSITIVE (0.9985), POSITIVE (0.9985),0.6833333333333332,0.7000000000000001,0.6833333333333332,0.7000000000000001,True,True,Having a good friend makes life more beautiful,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),chrF2 = 100.00
