S,Italian,Original,English_opus-mt-tc-big-it-en,English_Google,rating_score_google,rating_opus-mt,Unnamed: 7,Opus,Unnamed: 9,Google,Unnamed: 11,Ideal Human Translation,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1,Sono felice,1,I'm happy,I'm happy,0.5719,0.5719,,True,,True,,I'm happy,,,,
2,Ieri alla festa mi sono divertita molto,1,Yesterday at the party I had a lot of fun,Yesterday at the party I had a lot of fun,0.7184,0.7184,,True,,True,,Yesterday at the party I had a lot of fun,,,,
3,È stato bello parlare con te,1,It was nice talking to you,It has been nice talking to you,0.4215,0.4215,,True,,True,,It was nice talking to you,,,,
4,Ho trascorso una bella serata,1,I had a nice evening,I spent a nice evening,0.4215,0.4215,,True,,False,,I had a nice evening,,,,
5,Oggi è una giornata serena,1,Today is a peaceful day,Today is a peaceful day,0.4939,0.4939,,True,,True,,Today is a peaceful day,,,,
6,Sono al settimo cielo!,1,I'm in seventh heaven!,I'm in seventh heaven!,0.5562,0.5562,,True,,True,,I'm in seventh heaven!,,,,
7,Ho il cuore pieno di gioia,1,My heart is full of joy,I have my heart full of joy,0.5859,0.5859,,True,,True,,My heart is full of joy,,,,
8,Sono innamorata,1,I'm in love,I'm in love,0.6369,0.6369,,True,,True,,I'm in love,,,,
9,Hai un bellissimo sorriso,1,You have a beautiful smile,You have a beautiful smile,0.7506,0.7506,,True,,True,,You have a beautiful smile,,,,
10,Che begli occhi!,1,What beautiful eyes!,Nice eyes!,0.4753,0.636,,True,,False,,What beautiful eyes!,,,,
11,Che bella ragazza!,1,What a beautiful girl!,What a pretty girl!,0.5411,0.636,,True,,False,,What a beautiful girl!,,,,
12,Sei una persona fortunata,1,You're a lucky person.,You are a lucky person,0.4215,0.4215,,True,,True,,You're a lucky person.,,,,
13,Che bello averti incontrato,1,It's so good to have met you.,How nice to have met you,0.4215,0.4927,,False,,True,,How nice to have met you,,,,
14,Mi piace molto il mio lavoro,1,I really like my job.,I really like my job,0.4201,0.4201,,True,,True,,I really like my job.,,,,
