,Number,Italian,Original,English_opus-mt-tc-big-it-en,English_Google,rating_score,rating_opus-mt,NLTKPositive,NLTKNegative,NLTKNeutral,NLTKSentiment,NLTKPositive-G,NLTKNegative-G,NLTKNeutral-G,NLTKSentiment-G,TextblobSentimentPolarity,TextblobSentimentSubjectivity,TextblobSentimentPolarity-G,TextblobSentimentSubjectivity-G,FlairSentiment,FlairSentiment-G,PatternSentimentPolarity,PatternSentimentSubjectivity,PatternSentimentPolarity-G,PatternSentimentSubjectivity-G
0,0,General /commonly used Italian sentences -Positive,1,General /commonly used Italian sentences -Positive,General /commonly used Italian sentences -Positive,0.5859,0.5859,0.545,0.0,0.455,0.5859,0.545,0.0,0.455,0.5859,0.09242424242424242,0.34848484848484845,0.09242424242424242,0.34848484848484845, POSITIVE (0.9862), POSITIVE (0.9862),0.09242424242424242,0.34848484848484845,0.09242424242424242,0.34848484848484845
1,1,Sono felice,1,I'm happy,I'm happy,0.5719,0.5719,0.787,0.0,0.213,0.5719,0.787,0.0,0.213,0.5719,0.8,1.0,0.8,1.0, POSITIVE (0.9925), POSITIVE (0.9925),0.8,1.0,0.8,1.0
2,2,Ieri alla festa mi sono divertita molto,1,Yesterday at the party I had a lot of fun,Yesterday at the party I had a lot of fun,0.7184,0.7184,0.5,0.0,0.5,0.7184,0.5,0.0,0.5,0.7184,0.3,0.2,0.3,0.2, POSITIVE (0.9973), POSITIVE (0.9973),0.3,0.2,0.3,0.2
3,3,ÃÂ stato bello parlare con te,1,It was nice talking to you,It has been nice talking to you,0.4215,0.4215,0.359,0.0,0.641,0.4215,0.318,0.0,0.682,0.4215,0.6,1.0,0.6,1.0, POSITIVE (0.916), POSITIVE (0.959),0.6,1.0,0.6,1.0
4,4,Ho trascorso una bella serata,1,I had a nice evening,I spent a nice evening,0.4215,0.4215,0.583,0.0,0.417,0.4215,0.583,0.0,0.417,0.4215,0.6,1.0,0.25,0.55, POSITIVE (0.9569), POSITIVE (0.9474),0.6,1.0,0.25,0.55
5,5,Oggi ÃÂ¨ una giornata serena,1,Today is a peaceful day,Today is a peaceful day,0.4939,0.4939,0.516,0.0,0.484,0.4939,0.516,0.0,0.484,0.4939,0.25,0.5,0.25,0.5, POSITIVE (0.989), POSITIVE (0.989),0.25,0.5,0.25,0.5
6,6,Sono al settimo cielo!,1,I'm in seventh heaven!,I'm in seventh heaven!,0.5562,0.5562,0.545,0.0,0.455,0.5562,0.545,0.0,0.455,0.5562,0.0,0.0,0.0,0.0, POSITIVE (0.9856), POSITIVE (0.9856),0.0,0.0,0.0,0.0
7,7,Ho il cuore pieno di gioia,1,My heart is full of joy,I have my heart full of joy,0.5859,0.5859,0.432,0.0,0.568,0.5859,0.432,0.0,0.568,0.5859,0.575,0.375,0.575,0.375, POSITIVE (0.997), POSITIVE (0.9957),0.575,0.375,0.575,0.375
8,8,Sono innamorata,1,I'm in love,I'm in love,0.6369,0.6369,0.677,0.0,0.323,0.6369,0.677,0.0,0.323,0.6369,0.5,0.6,0.5,0.6, POSITIVE (0.9987), POSITIVE (0.9987),0.5,0.6,0.5,0.6
9,9,Hai un bellissimo sorriso,1,You have a beautiful smile,You have a beautiful smile,0.7506,0.7506,0.762,0.0,0.238,0.7506,0.762,0.0,0.238,0.7506,0.575,0.55,0.575,0.55, POSITIVE (0.9973), POSITIVE (0.9973),0.575,0.55,0.575,0.55
