,Number,Italian,Original,English_opus-mt-tc-big-it-en_df1,rating_score,rating_opus-mt_df1,NLTKPositive,NLTKNegative,NLTKNeutral,NLTKSentiment,NLTKPositive-G,NLTKNegative-G,NLTKNeutral-G,NLTKSentiment-G,TextblobSentimentPolarity,TextblobSentimentSubjectivity,TextblobSentimentPolarity-G,TextblobSentimentSubjectivity-G,FlairSentiment,FlairSentiment-G,PatternSentimentPolarity,PatternSentimentSubjectivity,PatternSentimentPolarity-G,PatternSentimentSubjectivity-G,English_opus-mt-tc-big-it-en,English_Google,rating_score_google,rating_opus-mt,Opus,Google,Ideal Human Translation,BLEU_score_mt,chrF_score_mt,BLEU_score_gt,chrF_score_gt
1,2,Ieri alla festa mi sono divertita molto,1,Yesterday at the party I had a lot of fun,0.7184,0.7184,0.5,0.0,0.5,0.7184,0.5,0.0,0.5,0.7184,0.3,0.2,0.3,0.2, POSITIVE (0.9973), POSITIVE (0.9973),0.3,0.2,0.3,0.2,Yesterday at the party I had a lot of fun,Yesterday at the party I had a lot of fun,0.7184,0.7184,True,True,Yesterday at the party I had a lot of fun,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10),chrF2 = 100.00
2,4,Ho trascorso una bella serata,1,I had a nice evening,0.4215,0.4215,0.583,0.0,0.417,0.4215,0.583,0.0,0.417,0.4215,0.6,1.0,0.25,0.55, POSITIVE (0.9569), POSITIVE (0.9474),0.6,1.0,0.25,0.55,I had a nice evening,I spent a nice evening,0.4215,0.4215,True,False,I had a nice evening,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 42.73 80.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 68.87
3,6,Sono al settimo cielo!,1,I'm in seventh heaven!,0.5562,0.5562,0.545,0.0,0.455,0.5562,0.545,0.0,0.455,0.5562,0.0,0.0,0.0,0.0, POSITIVE (0.9856), POSITIVE (0.9856),0.0,0.0,0.0,0.0,I'm in seventh heaven!,I'm in seventh heaven!,0.5562,0.5562,True,True,I'm in seventh heaven!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
4,7,Ho il cuore pieno di gioia,1,My heart is full of joy,0.5859,0.5859,0.432,0.0,0.568,0.5859,0.432,0.0,0.568,0.5859,0.575,0.375,0.575,0.375, POSITIVE (0.997), POSITIVE (0.9957),0.575,0.375,0.575,0.375,My heart is full of joy,I have my heart full of joy,0.5859,0.5859,True,True,My heart is full of joy,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 26.27 57.1/33.3/20.0/12.5 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6),chrF2 = 60.53
5,8,Sono innamorata,1,I'm in love,0.6369,0.6369,0.677,0.0,0.323,0.6369,0.677,0.0,0.323,0.6369,0.5,0.6,0.5,0.6, POSITIVE (0.9987), POSITIVE (0.9987),0.5,0.6,0.5,0.6,I'm in love,I'm in love,0.6369,0.6369,True,True,I'm in love,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00
6,9,Hai un bellissimo sorriso,1,You have a beautiful smile,0.7506,0.7506,0.762,0.0,0.238,0.7506,0.762,0.0,0.238,0.7506,0.575,0.55,0.575,0.55, POSITIVE (0.9973), POSITIVE (0.9973),0.575,0.55,0.575,0.55,You have a beautiful smile,You have a beautiful smile,0.7506,0.7506,True,True,You have a beautiful smile,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
7,10,Che begli occhi!,1,What beautiful eyes!,0.4753,0.636,0.677,0.0,0.323,0.636,0.756,0.0,0.244,0.4753,1.0,1.0,0.75,1.0, POSITIVE (0.9992), POSITIVE (0.9987),1.0,1.0,0.75,1.0,What beautiful eyes!,Nice eyes!,0.4753,0.636,True,False,What beautiful eyes!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 39.43 66.7/50.0/50.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4),chrF2 = 19.02
8,11,Che bella ragazza!,1,What a beautiful girl!,0.5411,0.636,0.677,0.0,0.323,0.636,0.636,0.0,0.364,0.5411,1.0,1.0,0.3125,1.0, POSITIVE (0.998), POSITIVE (0.9997),1.0,1.0,0.3125,1.0,What a beautiful girl!,What a pretty girl!,0.5411,0.636,True,False,What a beautiful girl!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 30.21 80.0/50.0/16.7/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 31.27
9,12,Sei una persona fortunata,1,You're a lucky person.,0.4215,0.4215,0.583,0.0,0.417,0.4215,0.483,0.0,0.517,0.4215,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.8333333333333334, POSITIVE (0.9995), POSITIVE (0.9996),0.3333333333333333,0.8333333333333334,0.3333333333333333,0.8333333333333334,You're a lucky person.,You are a lucky person,0.4215,0.4215,True,True,You're a lucky person.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 39.76 60.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 75.75
10,13,Che bello averti incontrato,1,It's so good to have met you.,0.4215,0.4927,0.347,0.0,0.653,0.4927,0.359,0.0,0.641,0.4215,0.7,0.6000000000000001,0.6,1.0, POSITIVE (0.9977), POSITIVE (0.999),0.7,0.6000000000000001,0.6,1.0,It's so good to have met you.,How nice to have met you,0.4215,0.4927,False,True,How nice to have met you,BLEU = 34.57 50.0/42.9/33.3/20.0 (BP = 1.000 ratio = 1.333 hyp_len = 8 ref_len = 6),chrF2 = 55.31,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
